data,precipitacao_mm,temp_max_c,temp_min_c
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
